provider_name,provider_type,npi_number,city,state,phone_number
Mahoney Ltd Medical Center,Clinic,7634607046,Bethanystad,NY,621-744-9141x182
Ortiz and Sons Medical Center,Pharmacy,4094424865,Lake Ambermouth,UT,001-717-402-6987x422
"Baker, Knight and Hicks Medical Center",Pharmacy,2725894660,Obrienview,WY,001-956-643-3557x84401
Cortez-Smith Medical Center,Clinic,1984565143,Lake Stephanie,LA,(774)502-8899
Navarro Ltd Medical Center,Hospital,3100447466,Evanbury,NV,(826)639-7484
Ramirez Inc Medical Center,Urgent Care,7168399635,East Sabrina,PW,562.713.6665x5456
Roman-Bailey Medical Center,Clinic,8898163481,Lake Seanmouth,LA,561-902-8348x431
Jennings Ltd Medical Center,Specialist,4921372178,North Adriana,SD,345-545-2951x3138
Rosales Inc Medical Center,Pharmacy,1640091258,Calebport,MO,216.328.6306x36668
"Campbell, Martinez and Simmons Medical Center",Primary Care,5363298462,Lake Jamesport,OK,+1-812-395-5569
"Boyd, Garrison and Martinez Medical Center",Urgent Care,9782587233,Bryanberg,IA,630-914-0220
Cook LLC Medical Center,Urgent Care,9109403725,Kennethville,ME,998-895-2893
Perez-Ball Medical Center,Pharmacy,1399057686,West James,CT,(319)750-4048x6751
"Smith, Williams and Beltran Medical Center",Specialist,1984420848,Whiteville,FM,594-502-5293
Grant-Quinn Medical Center,Urgent Care,6287704546,New Deniseborough,AL,985-980-4567
Allen-Johnson Medical Center,Urgent Care,9001642354,Tuckerside,NH,7006718903
Parker LLC Medical Center,Clinic,6226073371,East Elizabeth,AK,(918)574-3435x22478
Wallace-Kaiser Medical Center,Laboratory,9151530629,Millerhaven,IA,658-904-9043x55555
Morris-Barker Medical Center,Primary Care,5409574051,Fowlerport,FM,001-732-876-2974x95352
"Wiley, Cherry and Wade Medical Center",Urgent Care,8043731807,Kennethside,MD,+1-243-683-3466x765
"Watson, Vance and James Medical Center",Urgent Care,8067925283,New Stephanie,HI,447.649.7538
Moore-Martin Medical Center,Clinic,2172648483,Brianafurt,NH,001-714-245-9900
Dominguez PLC Medical Center,Pharmacy,2110991742,Bishopstad,NC,001-236-776-8929x225
Khan-Martin Medical Center,Pharmacy,1047003227,East Robertburgh,SC,270-202-1880
Hill-James Medical Center,Pharmacy,1418032187,Newmanville,WA,626-253-9465x4761
"George, Bishop and Moody Medical Center",Primary Care,1176294509,South Melissa,PW,+1-967-642-9358x40439
Mercado-Blake Medical Center,Specialist,1972497220,West Heatherfurt,TN,695.447.8128
"Buchanan, Andrews and Conway Medical Center",Laboratory,3754457753,Port Philip,NC,001-657-945-7947x5582
"Bennett, Lynch and Goodman Medical Center",Hospital,9318561877,North Joshua,PA,(987)495-9921
Frye PLC Medical Center,Primary Care,1680597542,South Eduardoview,AL,(962)479-2215
Bailey-Kirby Medical Center,Hospital,7519903463,Jacobborough,MH,+1-410-226-2598x90455
"Newton, Kelly and Morris Medical Center",Hospital,5943629676,South Mallorymouth,SC,(249)768-7638x5962
Schultz-Mayo Medical Center,Specialist,2219227888,Paulstad,AK,397-921-5694
Rodriguez-Harris Medical Center,Pharmacy,4371929829,North Cory,VT,+1-474-756-2572x21475
Mills-Garcia Medical Center,Primary Care,6509749023,Rogersland,SC,209.783.3957x32752
Norman Inc Medical Center,Hospital,1846908120,South Brenda,VA,865-874-0174
Martinez Ltd Medical Center,Urgent Care,4330605885,South Shelly,CA,+1-756-941-2373
Johnson and Sons Medical Center,Clinic,6285167208,Martintown,KS,+1-870-774-5985x47888
Duran-Torres Medical Center,Primary Care,8514951721,Mirandaborough,PR,001-271-818-3520x6285
Santiago LLC Medical Center,Specialist,3672818926,Benjaminshire,NE,001-900-328-0385
Frye-Fitzgerald Medical Center,Primary Care,1392513746,New Candicemouth,NV,001-758-582-6884
Brown Ltd Medical Center,Specialist,6334313836,Adrianton,DC,001-305-739-7796x002
Stewart-Jensen Medical Center,Clinic,7548086345,Griffinton,NV,619-218-3920x1119
Freeman Ltd Medical Center,Hospital,6780344025,North Angelafurt,IL,543-414-8035
Williams LLC Medical Center,Specialist,2437977920,Kylieberg,MO,(492)425-0100x0124
Castro and Sons Medical Center,Pharmacy,5014588382,Jamesstad,KS,953-280-4544x550
Johnson PLC Medical Center,Primary Care,8068885699,Port Matthewhaven,CO,+1-352-361-6902x4254
"Brooks, Peterson and Evans Medical Center",Specialist,2497347175,Lake Elizabeth,GA,(786)907-8976x2380
Anderson Group Medical Center,Primary Care,5336568607,Port Frank,PA,474.911.5418x366
Thompson-Thomas Medical Center,Primary Care,3777059133,Myersberg,MA,8675984289
Blackwell PLC Medical Center,Clinic,2420228060,North Monicabury,IA,735.685.5001x4465
"Wheeler, Juarez and Weber Medical Center",Clinic,7314233136,Stephensfurt,SD,(956)576-3248x6674
Garcia-Anderson Medical Center,Specialist,5917618591,North Jose,ND,001-313-429-9880
Thomas Ltd Medical Center,Clinic,3586756500,West Danielchester,AR,669.705.7684x024
Woodard-Doyle Medical Center,Urgent Care,6567941530,Timothyborough,VI,(375)992-3750x91982
Phillips and Sons Medical Center,Urgent Care,8218635037,Matthewmouth,MH,3508071228
Gibson Ltd Medical Center,Pharmacy,5682631822,East Edwardmouth,KS,283-413-0461x213
"Smith, Bowen and Lee Medical Center",Specialist,4957529592,South Ryan,KY,001-412-898-7511x46842
Simon-Schroeder Medical Center,Pharmacy,5903448865,West David,SD,318-566-3754x115
Wolfe-Reynolds Medical Center,Specialist,9704379404,Bairdchester,MH,(906)940-8846x0585
Smith-Whitehead Medical Center,Primary Care,7468182066,West Paul,NC,(612)971-5084
"Cameron, Donovan and Miller Medical Center",Specialist,9471249894,East Carl,KY,748-874-5731
Joseph-Brown Medical Center,Clinic,9083903068,Lake Jennifer,MH,001-249-342-7383x7311
Perry-Frost Medical Center,Pharmacy,3624144025,Adamsside,KY,771-673-8448
"Ruiz, Parker and Rivas Medical Center",Hospital,2660509396,Jenniferstad,PA,524-575-5422
Hampton Ltd Medical Center,Specialist,7729004880,Frankshire,MA,933.275.6363x49362
Smith-Baker Medical Center,Hospital,5946577326,East Lindseyville,PA,8378153897
"Gallagher, Cook and Mccall Medical Center",Urgent Care,9097988271,Burtonstad,VI,001-429-478-4674
Morales Inc Medical Center,Specialist,6476338135,South Davidburgh,WV,(990)557-1658x293
Hines Ltd Medical Center,Laboratory,1176239339,Wallchester,VA,652-778-0943x4531
"Marshall, Lee and Martin Medical Center",Urgent Care,8073483223,Angelahaven,MN,001-434-200-2357x9649
Nelson and Sons Medical Center,Specialist,8274147088,Greenside,MS,440-663-2798x11796
"Gonzalez, Snow and Villarreal Medical Center",Primary Care,8079143769,Andrewsberg,GA,001-631-402-4786x791
Cooper PLC Medical Center,Urgent Care,2398137989,North Christina,MT,244-902-1536
Bray-Jackson Medical Center,Hospital,7051875305,Port Jenniferville,IN,001-893-203-1743x56894
"Kelley, White and Yang Medical Center",Clinic,4435975119,North Davidview,LA,+1-311-417-0846
"Rodriguez, Buckley and Haney Medical Center",Urgent Care,4969703009,Port Sarah,CO,(367)860-7786
Burke-Powell Medical Center,Hospital,2460728832,East Jeffery,UT,+1-839-662-3344x6636
"Keller, Figueroa and Clark Medical Center",Urgent Care,5991187620,West Jamie,VT,(891)313-9464x5616
Marshall-Perry Medical Center,Specialist,2684120853,Hicksview,VA,620-587-0471
Brown Group Medical Center,Primary Care,7641276561,Jodiside,NC,967-262-9320
"Baird, Rivers and Newman Medical Center",Laboratory,7684461695,North Taylorbury,KY,001-886-378-3101
Zamora-Lewis Medical Center,Laboratory,4741076044,South Stevenport,WA,001-613-799-4397x33723
Moore-Harris Medical Center,Pharmacy,6565332537,North Michael,AK,685.244.7723
Becker-Richards Medical Center,Clinic,1603758307,Jimenezside,OR,967.663.0310
Petersen-Hill Medical Center,Clinic,7652469962,North Adamview,GA,7137309320
"Thomas, Cruz and Robertson Medical Center",Specialist,1824774122,Hayesborough,GU,672-505-2560x0769
Murray-Smith Medical Center,Specialist,3560249312,North Brooke,CO,838.786.5474
Black and Sons Medical Center,Laboratory,6323929108,Harrisville,VA,551-765-6952
Stanley LLC Medical Center,Pharmacy,5980665678,Port Erikaport,WV,+1-218-444-4327
Miles Group Medical Center,Urgent Care,7411605140,West Tamara,VA,706-262-5524x7648
"Thomas, Flores and Rowe Medical Center",Laboratory,7849430557,West Johnshire,MP,(483)573-3478x126
"Schultz, Chen and Bruce Medical Center",Hospital,4276927334,Lake Dennis,MP,001-525-922-0913x13621
Frey Ltd Medical Center,Urgent Care,1777879655,Kristamouth,AR,488-383-5366
Walker-Pearson Medical Center,Primary Care,8291940790,Andersonport,AK,243-690-5222x69292
Thomas-Edwards Medical Center,Specialist,2127862679,Jacksonmouth,OH,(410)307-0289
Kelley and Sons Medical Center,Specialist,5090455569,Cobbshire,CO,+1-918-758-5651
King-Lawson Medical Center,Clinic,2456451826,North Sheritown,MD,677-322-4628
"Garcia, Baxter and Anderson Medical Center",Urgent Care,8388883705,Mcphersonhaven,AL,448-622-4575x47133
"Brown, Ramirez and Murray Medical Center",Urgent Care,5046633016,Garzastad,HI,(742)879-5340
Poole and Sons Medical Center,Specialist,5461960728,Garciaville,NE,691-993-5801
"Reid, Lozano and Garcia Medical Center",Pharmacy,7088149265,Port Benjaminhaven,LA,209.353.4845
Lambert-Friedman Medical Center,Laboratory,9185578883,Williambury,NC,+1-708-978-8972x596
Larson LLC Medical Center,Laboratory,2302538217,Lake John,IA,001-799-499-1559
"Conley, Walls and Gay Medical Center",Primary Care,6735188613,Port Tara,AS,001-588-913-8380x392
Johnson-Little Medical Center,Pharmacy,8910895062,North Kevin,OH,(484)621-6736
Washington-Gonzales Medical Center,Primary Care,3541972688,Mistymouth,VI,882-727-1390
Meyer Ltd Medical Center,Primary Care,7360145570,Lindahaven,VA,835-925-0480x419
Smith Ltd Medical Center,Urgent Care,7343744084,Lake Joshuaport,NE,720.813.5348
Santos and Sons Medical Center,Hospital,1589548532,East Denise,AK,326-335-6687x1059
Brady-Hester Medical Center,Urgent Care,6118746552,Spencerchester,MO,805.906.5124x347
"Schneider, Marquez and Scott Medical Center",Pharmacy,1324246052,Mcdanielport,DC,001-683-305-3236x80819
Walton PLC Medical Center,Urgent Care,4566222785,Atkinsonburgh,IN,250-846-2530x8334
Jones-Sullivan Medical Center,Primary Care,8323021396,Brianside,PW,380-744-7945
Smith-Harrington Medical Center,Urgent Care,8978683451,South Nicholasbury,NH,001-815-602-4728x88761
Carr and Sons Medical Center,Urgent Care,8986730339,Theresamouth,MT,244-728-8128
Adkins and Sons Medical Center,Clinic,6157067603,Port Thomasside,NE,+1-665-984-0270x0027
Stewart-Johns Medical Center,Clinic,1487210014,North Jennifer,ME,(989)665-6598
Hatfield-Ramsey Medical Center,Urgent Care,7139718525,West Shelbyton,HI,(448)668-8061
Smith-Sutton Medical Center,Primary Care,6797101994,New Alicia,ID,001-806-839-0736x52921
Bell-Ortiz Medical Center,Pharmacy,9449326903,Lake Frankfort,MS,(886)718-4756
Perkins-Graham Medical Center,Hospital,6876880131,Lake Guyton,WA,503.452.1081x810
Dominguez-Williams Medical Center,Specialist,7140224279,Lucasfurt,NJ,(364)397-8889x5287
Davis-Smith Medical Center,Clinic,2846634350,West Matthewport,AL,854.430.9964x26110
Dougherty LLC Medical Center,Primary Care,8713423248,Port Elizabethville,VT,6515447349
Mueller LLC Medical Center,Urgent Care,5752001600,Chadshire,MO,001-831-661-1169x823
Maynard Inc Medical Center,Urgent Care,2109385942,Lake Normahaven,IN,001-533-915-5053
Burns-Gilbert Medical Center,Hospital,9101918062,East Christina,MO,832-374-6069
Miles Inc Medical Center,Laboratory,9221204144,Susanshire,NV,7525897672
Hill-Hall Medical Center,Primary Care,1616721584,Pottston,MH,924.502.7102x9312
"Marshall, Taylor and Beard Medical Center",Urgent Care,3907774115,West Lisaburgh,WA,5084349641
Fox Inc Medical Center,Specialist,3874270845,North Jasmineton,AZ,948.929.2631x716
Kennedy and Sons Medical Center,Laboratory,7135295226,Ellenmouth,AR,3762953455
Wilcox Ltd Medical Center,Laboratory,1085682711,Johnsonfurt,AS,721.276.6482x095
Lewis-Cooper Medical Center,Urgent Care,3965885532,South Davidberg,GU,001-740-348-4270x59616
Silva-Taylor Medical Center,Hospital,7181683558,Port Tony,TX,587.454.7046
Black-Butler Medical Center,Clinic,2315654930,Gregorystad,TX,+1-488-900-0897x8560
Huerta and Sons Medical Center,Pharmacy,8623224246,Lydiaburgh,NM,(965)677-6495
Thornton-Booth Medical Center,Clinic,7396673959,South Shawnstad,WY,001-274-310-1436x836
"Wright, Baker and Campbell Medical Center",Hospital,6526676426,Brittanyfort,NE,(680)240-7194x3136
